Year,Week,age_15,age_adult,age_65,age_all
2018,40,12,55,26,42 
2018,41,21,49,18,39
2018,42,12,56,35,45
2018,43,18,44,23,36
2018,44,17,43,29,36
2018,45,42,50,33,53
2018,46,44,59,33,52
2018,47,36,74,53,64
2018,48,22,75,52,62
2018,49,49,87,62,76
2018,50,78,85,70,81
2018,51,62,109,70,94
2018,52,53,102,48,84
2019,1,31,183,132,148
2019,2,80,234,141,192
2019,3,140,226,139,196
2019,4,130,213,75,175
2019,5,161,235,90,197
2019,6,204,267,120,231
2019,7,165,241,142,211
2019,8,116,179,116,157
2019,9,101,129,107,121
2019,10,59,105,70,91
2019,11,43,73,36,62
2019,12,68,77,57,72
2019,13,56,71,22,60
2019,14,38,54,30,47
2019,15,19,47,48,42
2019,16,09,42,27,34
2019,17,02,31,18,24
2019,18,07,34,23,27
2019,19,09,29,23,25
2019,20,13,25,22,22
2019,21,11,18,18,17
2019,22,,,,
2019,23,,,,
2019,24,,,,
2019,25,,,,
2019,26,,,,
2019,27,,,,
2019,28,,,,
2019,29,,,,
2019,30,,,,
2019,31,,,,
2019,32,,,,
2019,33,,,,
2019,34,,,,
2019,35,,,,
2019,36,,,,
2019,37,,,,
2019,38,,,,
2019,39,,,,
2019,40,18,49,41,43
2019,41,17,58,55,50
2019,42,35,63,46,55
2019,43,33,70,63,62
2019,44,18,57,29,45
2019,45,34,55,29,45
2019,46,46,62,25,53
2019,47,87,67,35,65
2019,48,156,103,67,106
2019,49,185,130,84,131
2019,50,222,161,95,160
2019,51,223,197,152,194
2019,52,133,134,103,129
2020,1,97,183,172,166
2020,2,59,172,138,147
2020,3,63,112,108,103
2020,4,85,99,58,90
2020,5,70,124,56,103
2020,6,62,116,59,98
2020,7,45,102,53,84
2020,8,25,86,36,67
2020,9,35,105,49,84
2020,10,77,140,61,115
2020,11,81,185,65,146
2020,12,51,120,60,98
2020,13,27,91,68,76
2020,14,22,74,58,62
2020,15,14,42,42,37
2020,16,15,40,55,38
2020,17,11,36,77,39
2020,18,15,29,55,31
2020,19,04,20,42,21
2020,20,16,16,21,17
2020,21,18,14,22,16
2020,22,00,09,05,07
2020,23,02,07,10,07
2020,24,5,12,8,10
2020,25,2,10,13,9
2020,26,,,,
2020,27,,,,
2020,28,,,,
2020,29,,,,
2020,30,,,,
2020,31,,,,
2020,32,,,,
2020,33,,,,
2020,34,,,,
2020,35,,,,
2020,36,,,,
2020,37,,,,
2020,38,,,,
2020,39,,,,
2020,40,20,23,16,21
2020,41,08,21,11,17
2020,42,04,23,14,18
2020,43,10,18,15,16
2020,44,09,14,21,14
2020,45,09,18,10,15
2020,46,03,18,04,13
2020,47,00,06,11,12
2020,48,07,13,11,12
2020,49,09,12,12,12
2020,50,12,14,09,13
2020,51,04,16,06,12
2020,52,01,08,07,07
2020,53,01,11,10,09
2021,1,02,16,14,13
2021,2,03,12,13,11
2021,3,04,09,10,09
2021,4,02,13,16,10
2021,5,04,11,12,10
2021,6,1,7,6,6
2021,7,4,10,10,09
2021,8,4,4,5,4
2021,9,1,6,1,4
2021,10,3,9,5,7
2021,11,8,7,1,6
2021,12,5,7,1,6
2021,13,3,4,2,3
2021,14,1,6,6,5
2021,15,3,8,6,6
2021,16,3,5,9,5
2021,17,4,5,4,5
2021,18,1,4,3,4
2021,19,5,6,6,6
2021,20,11,9,4,9
2021,21,12,6,8,7
2021,22,2,6,2,5
2021,23,5,8,4,7
2021,24,4,3,1,3
2021,25,14,9,8,10
2021,26,12,5,2,9
2021,27,8,4,8,7
2021,28,7,3,10,7
2021,29,8,3,5,7
2021,30,8,0,10,7
2021,31,7,4,6,6
2021,32,9,4,0,6
2021,33,12,6,9,10
2021,34,11,8,6,10
2021,35,10,6,4,8
2021,36,13,10,3,11
2021,37,16,5,5,12
2021,38,20,17,7,17
2021,39,31,9,13,24
2021,40,40,9,27,33
2021,41,40,17,32,35
2021,42,35,35,19,33
2021,43,42,18,16,33
2021,44,16,39,19,31
2021,45,12,36,19,29
2021,46,23,31,16,27
2021,47,30,34,06,28
2021,48,16,43,17,34
2021,49,21,37,12,30
2021,50,17,29,14,24
2021,51,10,21,15,18
2021,52,06,10,10,09
2022,1,5,5,12,13
2022,2,2,18,11,14
2022,3,6,13,16,11
2022,4,8,11,10,10
2022,5,10,10,2,9
2022,6,11,19,12,16
2022,7,04,17,03,12
2022,8,06,12,08,10
2022,9,07,16,10,13
2022,10,07,26,07,20
2022,11,06,15,08,12
2022,12,13,23,16,20
2022,13,10,30,14,24
2022,14,12,20,20,18
2022,15,04,17,09,14
2022,16,08,16,16,15
2022,17,03,14,06,10
2022,18,08,14,11,12
2022,19,12,16,09,14
2022,20,17,14,08,14
2022,21,11,14,07,12
2022,22,03,07,02,06
2022,23,07,15,12,13
2022,24,13,15,03,12
2022,25,05,11,05,09
2022,26,13,14,09,13
2022,27,07,18,06,14
2022,28,07,10,04,09
2022,29,05,05,04,05
2022,30,04,12,06,09
2022,31,03,11,04,08
2022,32,03,08,04,06
2022,33,02,10,04,07
2022,34,02,08,08,07
2022,35,02,09,01,06
2022,36,00,10,10,08
2022,37,10,13,09,12
2022,38,08,15,11,13
2022,39,09,30,14,24
2022,40,19,36,18,30
2022,41,22,43,27,37
2022,42,28,37,25,33
2022,43,32,40,26,36
2022,44,27,39,29,35
2022,45,38,52,26,45
2022,46,70,57,23,53
2022,47,83,72,27,66
2022,48,127,99,45,94
2022,49,197,163,86,155
2022,50,266,256,147,239
2022,51,290,335,248,313
